SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
135915,12,0,0,0,0,85.4285714285714,87.6842105263158,1,,0,152,112,73.68,,,0
135916,12,0,0,0,0,92,93.0612244897959,1,,0,154,143,92.86,,,0
136076,12,0,0,0,0,94.2857142857143,91.8947368421053,1,,0,154,141,91.56,,,0
136139,12,0,0,0,0,67.0769230769231,71.2432432432432,1,,0,156,136,87.18,,,0
136341,12,1,1,8.33333333333333,8.33333333333333,79.4285714285714,76.8888888888889,1,,0,154,115,74.68,,,0
136581,12,0,0,0,0,82.7692307692308,73.945945945946,1,,0,165,145,87.88,,,0
136632,12,0,0,0,0,77.7142857142857,77.1578947368421,1,,0,147,116,78.91,,,0
136854,12,1,1,8.33333333333333,8.33333333333333,77.4285714285714,78.6315789473684,1,,0,154,139,90.26,,,0
136988,37,15,14,40.5405405405405,37.8378378378378,80.9,89.3,1,1,1,332,272,81.93,Others,IA,1
136988,37,15,14,40.5405405405405,37.8378378378378,80.9,89.3,1,1,1,332,272,81.93,Initiated By School ,Unreachable ,1
136994,12,2,2,16.6666666666667,16.6666666666667,94.4615384615385,92.7567567567568,1,,0,163,159,97.55,,,0
137172,12,1,4,8.33333333333333,33.3333333333333,76,63.4594594594595,1,,0,156,137,87.82,,,0
137173,12,1,2,8.33333333333333,16.6666666666667,81.8461538461538,85.0810810810811,1,,0,156,150,96.15,,,0
137457,12,2,2,16.6666666666667,16.6666666666667,91.9,86.8,1,,0,162,150,92.59,,,0
137486,12,0,1,0,8.33333333333333,84.48,84.5405405405406,1,,0,164,154,93.9,,,0
137488,12,0,1,0,8.33333333333333,75.6666666666667,75.2222222222222,1,,0,162,129,79.63,,,0
137634,32,2,6,6.25,18.75,83.6923076923077,76.7567567567568,1,1,1,330,304,92.12,Initiated By School ,Unreachable ,1
137642,37,0,1,0,2.7027027027027,80.4285714285714,72.6315789473684,1,1,1,326,300,92.02,Initiated By School ,Unreachable ,1
137646,37,12,13,32.4324324324324,35.1351351351351,59.2307692307692,46,1,1,1,314,244,77.71,Others,IA,1
137821,12,5,4,41.6666666666667,33.3333333333333,86,70.5263157894737,1,,0,162,123,75.93,,,0
137951,12,0,0,0,0,85.7142857142857,83.4736842105263,1,,0,165,153,92.73,,,0
138023,12,0,2,0,16.6666666666667,91.7142857142857,93.0526315789474,1,,0,168,146,86.9,,,0
138218,25,4,10,16,40,79.3846153846154,83.4594594594595,1,1,1,312,252,80.77,Initiated By School ,Unreachable ,1
138398,12,0,0,0,0,70.08,70.1621621621622,1,,0,168,138,82.14,,,0
138411,12,3,4,25,33.3333333333333,61.6,67.6756756756757,1,,0,168,153,91.07,,,0
